Recipe_ID,recipe_name,ulcerative colitis,diabetes
428,Mixed Vegetable Sagu Recipe - Karnataka Style Vegetable Kurma Recipe,0,1
429,Mexican Lime Chicken Recipe,0,1
430,Andhra Style Cucumbers / Caramel Undalu Recipe (Rice Flour Chochonuth Fritters),1,0
431,Makhane vegetable recipe,0,1
432,Szechuan Vegetarian Fried Rice,0,1
433,Achari Gobi Shimla Mirch Ki Sabzi Recipe - Capsicum And Cauliflower Sabzi,0,1
434,Carrot and Oats Whole Wheat Bread Recipe,0,0
435,Chole Biryani Recipe - Spicy Chana Biryani Recipe,0,0
436,Herbed Butter Garlic Quinoa Recipe,0,1
437,Rajgira Paneer Paratha Recipe (Navratri Fasting/Vrat Recipe),0,1
438,Grilled Paneer Pineapple Sandwich Recipe,0,0
439,Strawberry Chocolate Loaf Cake Recipe,0,0
440,Cheddar Beer Bread Recipe - Cheesy Bread Recipe,0,0
441,Healthy Fruit & Nut Watermelon Dessert Recipe With Greek Yogurt,0,0
442,Tandoori Potatoes Recipe,0,0
443,Mango Kalakand Recipe,0,0
444,Sesame Noodles Recipe With Napa Cabbage,0,0
445,Bengali Potol Bhaj Recipe-Bengali Steel Parwal Sabzi,1,1
446,Kerala Style Arabic Vegetable Recipe - Kerala Style Arbi Curry,0,0
447,Duration Special Nihari Recipe,0,1
448,Cabbage Onion Vada Recipe,0,1
449,Cantonese Chicken With Mushrooms Recipe,0,0
450,Goan Style Banana Halwa Recipe (Kelyacho Halwo),1,0
451,Chocolate Coffee Sticky Cake Recipe,0,0
452,Chole Capsicum Masala Recipe - Chole Capsicum Masala Recipe,0,1
453,Carrot Tadka Raita Recipe- Crunchy Grated Carrot In Yogurt,1,1
454,Besan Arbi Roast Recipe - Spicy Colocasia Stir Fry,0,1
455,Carrot and Capsicum Rice Recipe - Carrot and Capsicum Rice,1,1
456,Senai Potato Curry Recipe - Spicy Chettinad Style Yum Stir Pre,1,1
457,"Date, Nuts And Quinoa Energy Bite Recipe",0,0
458,Gavarfali Ki Sukhi Sabzi (Recipe In Hindi),0,1
459,Mullangi Curry Recipe,0,1
460,Dum Pukht Gosht Recipe - Slow Cooked Mutton Curry,0,1
461,Idli Manchurian Recipe With Oriental Twist,0,1
462,Konkani Style Avnas Ambe Sasam Recipe-Fruit Salad with Coconut,0,0
463,Kakdi Chi Koshimbir Recipe - Maharashtrian Style Cucumber Salad,0,0
464,Chatpati Sattu Ki Kachori Recipe - Kachori Stuffed with Sattu and Pickle,0,0
465,Foxtail Millet Pongal Recipe,0,1
466,Shepuchi Bhaji Recipe (Stir Fried Maharashtrian Suva/Dill Greens),1,1
467,Bhindi and Capsicum Sabzi Recipe,0,1
468,Oats Ven Pongal Recipe,0,0
469,Kerala Style Chicken Chatti Pathiri Recipe,0,0
470,Black Eyed Peas Masala Vadas Recipe,0,0
471,Nawabi Paneer Curry Recipe - Nawabi Paneer Curry Recipe,0,1
472,Broccoli Chilli Noodles With Grilled Salmon Recipe,0,0
473,Palak Pulao Recipe,1,1
474,Roasted Garlic Potato Soup Recipe,1,1
475,Vegetable Filled Souffle Recipe,0,0
476,Vegetarian Hakka Noodles Recipe - Vegetarian Hakka Noodles Recipe,0,0
477,Mysore Chutney Recipe,0,1
478,Ragi Halwa Recipe | Healthy Indian Sweet Made With Ragi,0,0
479,Indian Festive Sweet Rice And Jamun Bhog Recipe,0,0
480,Raw Tomato Chutney Recipe,1,0
481,Raw Banana Raita Recipe,0,0
482,Vegetarian  Burger Recipe With Beans And Tofu Patty,0,0
483,Bengali Style Kucho Nimki Recipe (Diamond Shaped Salty Snacks),0,0
484,Tzatziki Recipe - A Greek Yogurt Dip,1,0
485,Crispy Palak Pakora Recipe,1,1
486,Malabar Mutton Biryani Recipe,0,0
487,Thalicha Thayir Sadam Recipe - Spicy Seasoned Curd Rice,0,1
488,Assamese Fish Fried Rice (Recipe In Hindi),0,1
489,Chatpata Rajma Salad Recipe - Kidney Beans Salad Recipe,0,1
490,Odisha Style Aloo Husband Recipe -Aloo Mash Sabeeji,1,1
491,Kashmiri Style Bharit Marchavangun Recipe-Stuffed Chillies,0,1
492,Karwar Style Bibya Usal Recipe (Spiced Cashew Nut Sabzi),0,0
493,Chocolate Banana Smoothie Bowl Recipe,0,0
494,Rava Vada Recipe,1,1
495,Mushroom Caldine Recipe | Vegetarian Goan Mushroom Curry,0,0
496,Thai Ice Tea Recipe,0,0
497,Awadhi Style Karela Ka Dulma Recipe - Stuffed Bitter Gourd In Yogurt Gravy,0,1
498,Whole Masala Gobhi Recipe - Spiced Whole Roasted Cauliflower Masala,1,0
499,Konkani Style Maskasangi Magge Koddel Recipe-Drumstick and Mangalore Cucumber Curry,0,0
500,Karachi Biscuits Recipe,0,0
501,Padipe Saasmi Recipe - Udupi Style Amaranth Leaves Curry With Coconut & Tamarind,0,0
502,Bengali Style Cholar Dal Recipe-Chana Dal,0,0
503,Savory Flax Seed Multigrain Crackers Recipe,0,1
504,Broccoli & Bell Pepper Zunka Recipe,1,1
505,Stuffed Omelette Recipe With Cheesy Garlic Mushroom & Corn,0,0
506,Quick and Easy Bread Upma Recipe,1,1
507,Thandai Kulfi Recipe - Holi Recipe,0,0
508,Crispy Eggless Pinwheels Bread Recipe,0,1
509,Watalappan Recipe - Steamed Egg Pudding With Jaggery,0,0
510,Calcutta Style Ghugni Recipe-Tangy Yellow Peas Curry,0,1
511,Karantaka Style Seke Undlaka/ Undlige Recipe (Mini steamed sweet dumplings Recipe),1,0
512,Aamras Ki Kadhi Recipe - Mango Kadhi Recipe,0,0
513,Kerala Pazham Pori Recipe - Banana Fritters Recipe | Nedra Pazham Fry,0,0
514,Mexican Taco Recipe With Spicy Tofu Crumble,0,0
515,Mixed Millet Phulka Recipe - Ragi Jowar Bajra Wheat Phulka,0,1
516,Pavakka Theeyal Recipe - Spicy & Tangy Karela In Tamarind Gravy,0,0
517,Parsi Salli Boti Recipe,0,0
518,Smoked Tandoori Paneer Tikka Recipe,0,0
